variable	variable2	values	mappedTerms	valueOrder
ext_crypto_cenr_2000::dob	ext_crypto_cenr_2000::dob	NA	NA	
ext_crypto_cenr_2000::doc	ext_crypto_cenr_2000::doc	NA	NA	
ext_crypto_cenr_2000::doe	ext_crypto_cenr_2000::doe	NA	NA	
ext_crypto_cenr_3000::dob	ext_crypto_cenr_3000::dob	NA	NA	
ext_crypto_cenr_3000::doc	ext_crypto_cenr_3000::doc	NA	NA	
ext_crypto_cenr_3000::doe	ext_crypto_cenr_3000::doe	NA	NA	
ext_crypto_cr_anthro_2000::dob	ext_crypto_cr_anthro_2000::dob	NA	NA	
ext_crypto_cr_anthro_3000::dob	ext_crypto_cr_anthro_3000::dob	NA	NA	
ext_crypto_cr_cbl_2000::amount	ext_crypto_cr_cbl_2000::amount	NA	NA	
ext_crypto_cr_cbl_3000::amount	ext_crypto_cr_cbl_3000::amount	NA	NA	
ext_crypto_cr_diarep_2000::diarend	ext_crypto_cr_diarep_2000::diarend	NA	NA	
ext_crypto_cr_diarep_2000::diarstrt	ext_crypto_cr_diarep_2000::diarstrt	NA	NA	
ext_crypto_cr_diarep_2000::doi	ext_crypto_cr_diarep_2000::doi	NA	NA	
ext_crypto_cr_diarep_2000::wt	ext_crypto_cr_diarep_2000::wt	NA	NA	
ext_crypto_cr_diarep_3000::diarend	ext_crypto_cr_diarep_3000::diarend	NA	NA	
ext_crypto_cr_diarep_3000::diarstrt	ext_crypto_cr_diarep_3000::diarstrt	NA	NA	
ext_crypto_cr_diarep_3000::doi	ext_crypto_cr_diarep_3000::doi	NA	NA	
ext_crypto_cr_diarep_3000::wt	ext_crypto_cr_diarep_3000::wt	NA	NA	
ext_crypto_cr_diarr_2000::doc	ext_crypto_cr_diarr_2000::doc	NA	NA	
ext_crypto_cr_diarr_2000::st24hr	ext_crypto_cr_diarr_2000::st24hr	NA	NA	
ext_crypto_cr_diarr_2000::vomi	ext_crypto_cr_diarr_2000::vomi	NA	NA	
ext_crypto_cr_diarr_3000::site	ext_crypto_cr_diarr_3000::site	NA	NA	
ext_crypto_cr_diarr_3000::st24hr	ext_crypto_cr_diarr_3000::st24hr	NA	NA	
ext_crypto_cr_diarr_3000::vomi	ext_crypto_cr_diarr_3000::vomi	NA	NA	
ext_crypto_cr_ds_2000::doc	ext_crypto_cr_ds_2000::doc	NA	NA	
ext_crypto_cr_ds_2000::dsno	ext_crypto_cr_ds_2000::dsno	NA	NA	
ext_crypto_cr_ds_2000::specid	ext_crypto_cr_ds_2000::specid	NA	NA	
ext_crypto_cr_ds_3000::doc	ext_crypto_cr_ds_3000::doc	NA	NA	
ext_crypto_cr_ds_3000::dsno	ext_crypto_cr_ds_3000::dsno	NA	NA	
